nome_municipio,ano,total_empenhado,total_liquidado,total_pago,saldo_a_pagar
LAGOA DE DENTRO,2024,51945490.48,51945490.48,51744493.02,200997.46
LAGOA DE DENTRO,2025,49854273.04,49734636.49,48516027.77,1338245.27
LAGOA SECA,2023,118336627.4,117247307.85,112962042.07,5374585.33
LAGOA SECA,2024,140439526.82,140432542.42,138362483.5,2077043.32
LAGOA SECA,2025,168832991.03,162011238.3,156469795.97,12363195.06
LASTRO,2023,23993480.94,23993480.94,23883505.91,109975.03
LASTRO,2024,33098924.89,33098919.89,32850880.42,248044.47
LASTRO,2025,33119317.8,33067542.45,33066402.33,52915.47
LIVRAMENTO,2023,35106233.72,35105133.72,33944580.6,1161653.12
LIVRAMENTO,2024,40132645.92,40132645.92,39817614.05,315031.87
LIVRAMENTO,2025,43674560.24,42984785.21,42499675.83,1174884.41
LOGRADOURO,2023,31337287.88,31120985.68,30316251.61,1021036.27
LOGRADOURO,2024,38140259.72,37268251.17,36838860.48,1301399.24
LOGRADOURO,2025,40296463.46,40296463.46,39892925.66,403537.8
LUCENA,2023,83760750.02,82589004.68,69511824.23,14248925.79
LUCENA,2024,85275516.02,85006362.59,77147648.75,8127867.27
LUCENA,2025,88765597.18,87274244.63,78459054.96,10306542.22
MÃE D'ÁGUA,2023,25938588.19,25900163.59,24831426.26,1107161.93
MÃE D'ÁGUA,2024,29486276.2,29388284.98,29068356.54,417919.66
MÃE D'ÁGUA,2025,27626364.75,27557720.67,27143096.02,483268.73
MALTA,2023,32546246.86,32333386.41,31754426.59,791820.27
MALTA,2024,39826109.25,39826109.25,39807140.28,18968.97
MALTA,2025,39866646.77,39818814.94,39785421.51,81225.26
MAMANGUAPE,2023,166638090.96,165236634.1,153486306.92,13151784.04
MAMANGUAPE,2024,202632619.62,200797147.03,196223147.03,6409472.59
MAMANGUAPE,2025,221846210.13,220971538.76,213990750.07,7855460.06
MANAÍRA,2023,43838723.27,42203699.29,42088025.02,1750698.25
MANAÍRA,2024,52590275.34,52004396.67,51926471.1,663804.24
MANAÍRA,2025,51966182.77,50719945.71,50647498.68,1318684.09
MARCAÇÃO,2023,44106549.34,44100560.01,41253870.47,2852678.87
MARCAÇÃO,2024,53670239.63,53045257.43,51328575.45,2341664.18
MARCAÇÃO,2025,46594439.43,46489380.5,45597428.75,997010.68
MARI,2023,92299580.31,92290973.43,90418003.2,1881577.11
MARI,2024,121449183.7,121019468.41,120906371.52,542812.18
MARI,2025,124669252.84,119386486.39,116345863.04,8323389.8
MARIZÓPOLIS,2023,39217218.45,39185363.27,37129414.32,2087804.13
MARIZÓPOLIS,2024,44268290.79,44253446.49,43745060.48,523230.31
MARIZÓPOLIS,2025,53860188.35,53695025.29,52883351.5,976836.85
MASSARANDUBA,2023,58071747.15,57653705.35,53155869.91,4915877.24
MASSARANDUBA,2024,65409157.28,65400276.88,64645967.81,763189.47
MASSARANDUBA,2025,75334729.21,71887960.76,71887960.73,3446768.48
MATARACA,2023,56733268.24,56081783.44,55622900.9,1110367.34
MATARACA,2024,64596732.71,64289513.23,64133969.67,462763.04
MATARACA,2025,67754074.01,67035740.0,67017540.0,736534.01
MATINHAS,2023,29245546.65,29245546.65,27907983.45,1337563.2
MATINHAS,2024,30052053.87,29430659.07,29213037.08,839016.79
MATINHAS,2025,28018111.9,27999551.17,27635498.86,382613.04
MATO GROSSO,2023,26599231.03,26599231.03,26432108.67,167122.36
MATO GROSSO,2024,36368079.51,36165973.11,35866034.47,502045.04
MATO GROSSO,2025,34896377.84,34896301.76,34514331.68,382046.16
MATURÉIA,2023,31707114.79,31707114.79,31017028.03,690086.76
MATURÉIA,2024,38804404.28,38772939.28,38517697.68,286706.6
MATURÉIA,2025,41257471.8,41248471.8,41136170.83,121300.97
MOGEIRO,2023,66242385.77,66108375.94,57502240.57,8740145.2
MOGEIRO,2024,77113350.17,76602144.48,75780784.26,1332565.91
MOGEIRO,2025,96353679.55,95939854.14,89074589.09,7279090.46
MONTADAS,2023,33641621.41,33641621.41,30497631.84,3143989.57
MONTADAS,2024,41779385.32,41779385.32,41665966.3,113419.02
MONTADAS,2025,43695376.14,42871943.53,42296716.94,1398659.2
MONTE HOREBE,2023,38280740.56,38276874.72,36888870.73,1391869.83
MONTE HOREBE,2024,46734446.99,46714494.11,44187911.1,2546535.89
MONTE HOREBE,2025,45124498.22,43079395.86,41088380.4,4036117.82
MONTEIRO,2023,139657104.75,139146538.71,134322479.83,5334624.92
MONTEIRO,2024,171088034.84,170190022.47,166367419.8,4720615.04
MONTEIRO,2025,188667656.26,187566393.08,182268937.89,6398718.37
MULUNGU,2023,39177975.26,39168896.21,38820090.76,357884.5
MULUNGU,2024,50894073.6,50892299.49,49613518.09,1280555.51
MULUNGU,2025,44464353.64,44422203.64,43975258.67,489094.97
NATUBA,2023,47526602.92,46750757.72,44883731.95,2642870.97
NATUBA,2024,55760140.44,55453796.88,54187587.13,1572553.31
NATUBA,2025,62793916.67,62031858.61,60219679.0,2574237.67
NAZAREZINHO,2023,41116923.72,41032216.19,40955268.65,161655.07
NAZAREZINHO,2024,44365002.2,44314420.02,44272464.19,92538.01
NAZAREZINHO,2025,49494555.56,48539042.62,48471560.62,1022994.94
NOVA FLORESTA,2023,41615736.56,40332803.2,39492859.91,2122876.65
NOVA FLORESTA,2024,46361043.71,44333742.11,44219811.36,2141232.35
NOVA FLORESTA,2025,52805062.59,47878894.87,47226981.04,5578081.55
